id,name,code,implementation,active,prefix,number_next,number_increment,padding,company_id/id
ir_sequence_12345_check_number_sequence,12345: Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_1500041180_check_number_sequence,1500041180 : Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_advance_payment_repairs_check_number_seq,Advance Payment - Repairs : Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_advance_payment_check_number_sequence,Advance Payment : Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_advance_receipt_repairs_check_number_seq,Advance Receipt - Repairs: Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_advance_receipt_check_number_sequence,Advance Receipt: Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_advance_payment_copy_check_number_sequen,Advance payment (copy) : Check Number Sequence,,no_gap,1,,1,1,5,base.main_company
ir_sequence_advance_payment_check_number_sequence_272,Advance payment : Check Number Sequence,,no_gap,1,,1,1,5,base.main_company
ir_sequence_advanced_cash_purchase_check_number_sequ,Advanced Cash Purchase : Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_asset_depreciation_check_number_sequence,Asset Depreciation: Check Number Sequence,,no_gap,1,,1,1,5,base.main_company
ir_sequence_boc_bank_check_number_sequence,BOC BANK: Check Number Sequence,,no_gap,1,,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_br_am_warehouse_for_ampara_sales_center_,BR-AM - Warehouse for Ampara Sales Center Picking POS,,standard,1,BR-AM/POS/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__380,BR-AM - Warehouse for Ampara Sales Center Sequence Resupply Subcontractor,,standard,1,BR-AM/RES/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__522,BR-AM - Warehouse for Ampara Sales Center Sequence Resupply Subcontractor,,standard,1,BR-AM/RES/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__176,BR-AM - Warehouse for Ampara Sales Center Sequence in,,standard,1,BR-AM/IN/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__180,BR-AM - Warehouse for Ampara Sales Center Sequence internal,,standard,1,BR-AM/INT/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__177,BR-AM - Warehouse for Ampara Sales Center Sequence out,,standard,1,BR-AM/OUT/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__179,BR-AM - Warehouse for Ampara Sales Center Sequence packing,,standard,1,BR-AM/PACK/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__178,BR-AM - Warehouse for Ampara Sales Center Sequence picking,,standard,1,BR-AM/PICK/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__181,BR-AM - Warehouse for Ampara Sales Center Sequence picking before manufacturing,,standard,1,BR-AM/PC/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__183,BR-AM - Warehouse for Ampara Sales Center Sequence production,,standard,1,BR-AM/MO/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__989,BR-AM - Warehouse for Ampara Sales Center Sequence repair,,standard,1,BR-AM/RO/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__342,BR-AM - Warehouse for Ampara Sales Center Sequence return,,standard,1,BR-AM/RET/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__182,BR-AM - Warehouse for Ampara Sales Center Sequence stock after manufacturing,,standard,1,BR-AM/SFP/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__521,BR-AM - Warehouse for Ampara Sales Center Sequence subcontracting,,standard,1,BR-AM/SBC/,1,1,5,base.main_company
ir_sequence_br_am_warehouse_for_ampara_sales_center__379,BR-AM - Warehouse for Ampara Sales Center Sequence subcontracting,,standard,1,BR-AM/SBC/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c,BR-AN - Warehouse for Anuradhapura Sales Center Picking POS,,standard,1,BR-AN/POS/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_308,BR-AN - Warehouse for Anuradhapura Sales Center Sequence IN,,standard,1,BR-AN/RET/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_452,BR-AN - Warehouse for Anuradhapura Sales Center Sequence MJ/OUT,,standard,1,BR-AN/MJ/OUT/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_532,BR-AN - Warehouse for Anuradhapura Sales Center Sequence Resupply Subcontractor,,standard,1,BR-AN/RES/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_382,BR-AN - Warehouse for Anuradhapura Sales Center Sequence Resupply Subcontractor,,standard,1,BR-AN/RES/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_185,BR-AN - Warehouse for Anuradhapura Sales Center Sequence in,,standard,1,BR-AN/IN/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_189,BR-AN - Warehouse for Anuradhapura Sales Center Sequence internal,,standard,1,BR-AN/INT/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_186,BR-AN - Warehouse for Anuradhapura Sales Center Sequence out,,standard,1,BR-AN/OUT/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_188,BR-AN - Warehouse for Anuradhapura Sales Center Sequence packing,,standard,1,BR-AN/PACK/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_187,BR-AN - Warehouse for Anuradhapura Sales Center Sequence picking,,standard,1,BR-AN/PICK/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_190,BR-AN - Warehouse for Anuradhapura Sales Center Sequence picking before manufacturing,,standard,1,BR-AN/PC/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_192,BR-AN - Warehouse for Anuradhapura Sales Center Sequence production,,standard,1,BR-AN/MO/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_990,BR-AN - Warehouse for Anuradhapura Sales Center Sequence repair,,standard,1,BR-AN/RO/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_309,BR-AN - Warehouse for Anuradhapura Sales Center Sequence return,,standard,1,BR-AN/RET/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_191,BR-AN - Warehouse for Anuradhapura Sales Center Sequence stock after manufacturing,,standard,1,BR-AN/SFP/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_381,BR-AN - Warehouse for Anuradhapura Sales Center Sequence subcontracting,,standard,1,BR-AN/SBC/,1,1,5,base.main_company
ir_sequence_br_an_warehouse_for_anuradhapura_sales_c_531,BR-AN - Warehouse for Anuradhapura Sales Center Sequence subcontracting,,standard,1,BR-AN/SBC/,1,1,5,base.main_company
ir_sequence_br_ek_warehouse_for_ekala_sales_center_p,BR-EK - Warehouse for Ekala Sales Center Picking POS,,standard,1,BR-EK/POS/,1,1,5,base.main_company
ir_sequence_br_ek_warehouse_for_ekala_sales_center_s,BR-EK - Warehouse for Ekala Sales Center Sequence Resupply Subcontractor,,standard,1,BR-EK/RES/,1,1,5,base.main_company
ir_sequence_br_ek_warehouse_for_ekala_sales_center_s_405,BR-EK - Warehouse for Ekala Sales Center Sequence Resupply Subcontractor,,standard,1,BR-EK/RES/,1,1,5,base.main_company
ir_sequence_br_ek_warehouse_for_ekala_sales_center_s_310,BR-EK - Warehouse for Ekala Sales Center Sequence in,,standard,1,BR-EK/IN/,1,1,5,base.main_company
ir_sequence_br_ek_warehouse_for_ekala_sales_center_s_314,BR-EK - Warehouse for Ekala Sales Center Sequence internal,,standard,1,BR-EK/INT/,1,1,5,base.main_company
ir_sequence_br_ek_warehouse_for_ekala_sales_center_s_311,BR-EK - Warehouse for Ekala Sales Center Sequence out,,standard,1,BR-EK/OUT/,1,1,5,base.main_company
ir_sequence_br_ek_warehouse_for_ekala_sales_center_s_313,BR-EK - Warehouse for Ekala Sales Center Sequence packing,,standard,1,BR-EK/PACK/,1,1,5,base.main_company
ir_sequence_br_ek_warehouse_for_ekala_sales_center_s_312,BR-EK - Warehouse for Ekala Sales Center Sequence picking,,standard,1,BR-EK/PICK/,1,1,5,base.main_company
ir_sequence_br_ek_warehouse_for_ekala_sales_center_s_316,BR-EK - Warehouse for Ekala Sales Center Sequence picking before manufacturing,,standard,1,BR-EK/PC/,1,1,5,base.main_company
ir_sequence_br_ek_warehouse_for_ekala_sales_center_s_318,BR-EK - Warehouse for Ekala Sales Center Sequence production,,standard,1,BR-EK/MO/,1,1,5,base.main_company
ir_sequence_br_ek_warehouse_for_ekala_sales_center_s_996,BR-EK - Warehouse for Ekala Sales Center Sequence repair,,standard,1,BR-EK/RO/,1,1,5,base.main_company
