id,x_active,x_studio_sequence,x_name,x_studio_description,x_studio_company_id/id,x_studio_payment_term/id
vendor_group_ca_pur,1,10,CA-PUR,CASH VENDORS (PURCHASE),seed_master_data_and_settings.company_jinasena_agricultural_machinery,
vendor_group_ca_purch,1,10,CA-PURCH,CASH PURCHASING EMPLOYEES,seed_master_data_and_settings.company_jinasena_agricultural_machinery,
vendor_group_ca_sv,1,10,CA-SV,CASH VENDORS (SERVICES),seed_master_data_and_settings.company_jinasena_agricultural_machinery,
vendor_group_cr_pur,1,10,CR-PUR,CREDIT VENDORS (PURCHASE),seed_master_data_and_settings.company_jinasena_agricultural_machinery,
vendor_group_cr_sv,1,10,CR-SV,CREDIT VENDORS (SERVICES),seed_master_data_and_settings.company_jinasena_agricultural_machinery,
vendor_group_emp_pay,1,10,EMP-PAY,EMPLOYEE RELATED PAYMENTS,seed_master_data_and_settings.company_jinasena_agricultural_machinery,
vendor_group_imp_ven,1,10,IMP-VEN,IMPORT VENDORS,seed_master_data_and_settings.company_jinasena_agricultural_machinery,
vendor_group_imp_ven_cf,1,10,IMP-VEN-CF,IMPORT CLEARING/FORWARDING AGENTS VR,seed_master_data_and_settings.company_jinasena_agricultural_machinery,
vendor_group_sbu1,1,10,SBU1,INTER COMPANY SBU 1,seed_master_data_and_settings.company_jinasena_agricultural_machinery,
vendor_group_tra_com,1,10,TRA-COM,TRADE COMMISSION,seed_master_data_and_settings.company_jinasena_agricultural_machinery,
vendor_group_ca_pur_249,1,10,CA-PUR,CASH VENDORS (PURCHASE),base.main_company,account.account_payment_term_immediate
vendor_group_ca_purch_250,1,10,CA-PURCH,CASH PURCHASING EMPLOYEES,base.main_company,account.account_payment_term_immediate
vendor_group_ca_sv_251,1,10,CA-SV,CASH VENDORS (SERVICES),base.main_company,account.account_payment_term_immediate
vendor_group_cr_pur_252,1,10,CR-PUR,CREDIT VENDORS (PURCHASE),base.main_company,
vendor_group_cr_sv_253,1,10,CR-SV,CREDIT VENDORS (SERVICES),base.main_company,
vendor_group_emp_pay_254,1,10,EMP-PAY,EMPLOYEE RELATED PAYMENTS,base.main_company,
vendor_group_imp_ven_255,1,10,IMP-VEN,IMPORT VENDORS,base.main_company,account.account_payment_term_immediate
vendor_group_imp_ven_cf_256,1,10,IMP-VEN-CF,IMPORT CLEARING/FORWARDING AGENTS VR,base.main_company,account.account_payment_term_immediate
vendor_group_sbu1_257,1,10,SBU1,INTER COMPANY SBU 1,base.main_company,
vendor_group_tra_com_258,1,10,TRA-COM,TRADE COMMISSION,base.main_company,
